accident_id,accident_year,accident_outcome_standardized,accident_nature,road_situation,speed_limit,street_name,longitude,latitude,BUURTCODE,BUURTNAAM
20220067354,2022,property_damage_only,Onbekend,Rechte weg,30.0,Waterlinie,5.396512187659995,51.43656625834255,635,Waterrijk
20230008779,2023,property_damage_only,Flank,Rechte weg,50.0,Mauritsstraat,5.472430642371331,51.43486138369077,112,Bergen
20230007858,2023,property_damage_only,Flank,"Kruispunt, 3 takken",50.0,Mathildelaan,5.475478409509473,51.44110836164471,113,Witte Dame
20230009169,2023,property_damage_only,Onbekend,Rechte weg,30.0,Generaal Bothastraat,5.514564194097124,51.44197748234777,322,Doornakkers-Oost
20240034437,2024,property_damage_only,Flank,"Kruispunt, 4 takken",30.0,Professor Dr Dorgelolaan,5.481208516959322,51.44488857575896,114,Fellenoord
20240034572,2024,property_damage_only,Onbekend,"Kruispunt, 4 takken",50.0,Ds Theodor Fliednerstr,5.489432616864887,51.45267854043015,433,Hondsheuvels
20240034790,2024,property_damage_only,Flank,Rechte weg,30.0,Strijpsestraat,5.453373070609526,51.441041079119955,614,Schouwbroek
20220149491,2022,property_damage_only,Flank,"Kruispunt, 4 takken",,Adriaan Mulderweg,5.396760566460162,51.45289178835327,637,Flight Forum
20220188531,2022,property_damage_only,Onbekend,"Kruispunt, 4 takken",30.0,Jan Smitzlaan,5.4795190024859135,51.431565021400665,213,Elzent-Noord
20220189120,2022,property_damage_only,Flank,"Kruispunt, 4 takken",30.0,Gildelaan,5.475409259340008,51.447700381594615,413,Gildebuurt
20220188805,2022,property_damage_only,Flank,"Kruispunt, 3 takken",50.0,Essenstraat,5.461113097578083,51.44350805334127,615,Schoot
20240092314,2024,property_damage_only,Los voorwerp,Rechte weg,30.0,Geldropseweg,5.4917465692464384,51.432519118120304,211,Irisbuurt
20240092569,2024,injury,Flank,"Kruispunt, 4 takken",50.0,Huizingalaan,5.460091361584424,51.474732897372725,512,Prinsejagt
20240082965,2024,injury,Flank,,70.0,Aalsterweg,5.485772814179191,51.424327192250686,216,Bloemenplein
20240043980,2024,property_damage_only,Frontaal,Rechte weg,50.0,Oirschotsedijk,5.423373197226596,51.4631890055948,,
20240102576,2024,property_damage_only,Onbekend,"Kruispunt, 3 takken",30.0,Lichtenberg,5.446273718779391,51.41599881518917,732,Hanevoet
20230054332,2023,property_damage_only,Onbekend,Rechte weg,50.0,Vestdijk,5.481292413633616,51.439263362360364,111,Binnenstad
20230041004,2023,property_damage_only,Frontaal,Bocht,30.0,Craterlaan,5.497284555889239,51.46751695884383,542,Luytelaer
20220229054,2022,injury,Onbekend,"Kruispunt, 4 takken",50.0,Jan Smitzlaan,5.479632560467204,51.43160348648138,213,Elzent-Noord
20220227740,2022,property_damage_only,Flank,"Kruispunt, 3 takken",50.0,Firmamentlaan,5.501613174058317,51.46752516072399,542,Luytelaer
20220229251,2022,injury,Flank,"Kruispunt, 4 takken",30.0,Dutmalapad,5.485689809608701,51.44970924502734,115,TU-terrein
20240136888,2024,property_damage_only,Onbekend,"Kruispunt, 3 takken",30.0,Needestraat,5.44363323592168,51.44757374373414,624,Drents Dorp
20240147276,2024,property_damage_only,Flank,Rechte weg,,Kastanjelaan,5.456156968487869,51.445049860116264,616,Strijp S
20240156606,2024,property_damage_only,Flank,"Kruispunt, 4 takken",50.0,Barrierweg,5.4639011206565335,51.46047299953286,424,Mensfort
20240155910,2024,property_damage_only,Flank,"Kruispunt, 3 takken",30.0,St Theresiastraat,5.44044012805151,51.43836678270093,622,Het Ven
20240157063,2024,property_damage_only,Onbekend,"Kruispunt, 4 takken",30.0,Winkelstraat,5.49219060603511,51.41999466529384,221,Kerstroosplein
20230030885,2023,property_damage_only,Flank,"Kruispunt, 4 takken",30.0,Schootsestraat,5.451855478180364,51.44788612579151,616,Strijp S
20230071999,2023,property_damage_only,Onbekend,"Kruispunt, 3 takken",50.0,Ds Theodor Fliednerstr,5.4898427805357635,51.45739194897328,433,Hondsheuvels
20230031006,2023,property_damage_only,Onbekend,"Kruispunt, 4 takken",30.0,Essenstraat,5.461219529371005,51.44287582731003,612,Philipsdorp
20230031120,2023,property_damage_only,Flank,,50.0,Grasdreef,5.41925652980655,51.43346090160198,633,Grasrijk
20240033862,2024,property_damage_only,Onbekend,Rotonde,50.0,Meerhovendreef,5.393821059864922,51.43489893815794,635,Waterrijk
20230099803,2023,property_damage_only,Flank,"Kruispunt, 4 takken",30.0,Fransebaan,5.437560320942031,51.48442375429521,523,Achtse Barrier-Spaaihoef
20230081378,2023,property_damage_only,Onbekend,Bocht,30.0,Soeterbeekseweg,5.508060027018281,51.46824529491167,542,Luytelaer
20230081402,2023,injury,Eenzijdig,Bocht,50.0,Onze Lieve Vrouwestraat,5.484573029953927,51.452551630925434,115,TU-terrein
20230092767,2023,property_damage_only,Flank,"Kruispunt, 4 takken",50.0,Huizingalaan,5.460447772199206,51.47486832160823,513,Jagershoef
20220112006,2022,property_damage_only,Flank,Rechte weg,30.0,Marconilaan,5.458567234931986,51.45064531337341,421,Woensel-West
20230007335,2023,property_damage_only,Kop/staart,Rechte weg,50.0,Korianderstraat,5.499869902450033,51.4224740704479,237,Kruidenbuurt
20230007510,2023,property_damage_only,Flank,"Kruispunt, 4 takken",50.0,Leostraat,5.492406034361594,51.42416854275691,216,Bloemenplein
20220149399,2022,property_damage_only,Onbekend,Rechte weg,50.0,Vestdijktunnel,5.478396903331444,51.4414251155125,111,Binnenstad
20220160318,2022,injury,Onbekend,Rechte weg,30.0,Kanaaldijk-Zuid,5.488391834919928,51.43708016253079,211,Irisbuurt
20220187635,2022,property_damage_only,Frontaal,"Kruispunt, 3 takken",50.0,Verschaffeltstraat,5.474904997663649,51.46179728252801,425,Rapenland
20220188978,2022,injury,Flank,"Kruispunt, 4 takken",,Vestdijk,5.478700097864275,51.44125629049304,111,Binnenstad
20220189039,2022,property_damage_only,Frontaal,"Kruispunt, 4 takken",50.0,Boschdijk,5.47095952606421,51.44534742936836,412,Hemelrijken
20220188148,2022,property_damage_only,Flank,"Kruispunt, 4 takken",30.0,van Kinsbergenstraat,5.467102547050034,51.44938208234726,412,Hemelrijken
20240092840,2024,property_damage_only,Flank,"Kruispunt, 4 takken",50.0,Hoogstraat,5.472365037004432,51.434622263510846,712,Oude Spoorbaan
20240073395,2024,property_damage_only,Flank,Rechte weg,70.0,Karel de Grotelaan,5.448216191917798,51.42112617996599,721,Genderdal
20240073425,2024,property_damage_only,Frontaal,Rechte weg,30.0,Oirschotsedijk,5.4221753295798205,51.46246480163363,,
20240074169,2024,property_damage_only,Flank,"Kruispunt, 4 takken",50.0,Stadionplein,5.469367693467912,51.441660027145964,612,Philipsdorp
20240043713,2024,property_damage_only,Flank,Rechte weg,30.0,Frederiklaan,5.458985808332799,51.442619391424394,615,Schoot
20230042090,2023,property_damage_only,Flank,"Kruispunt, 4 takken",50.0,Heerbaan,5.524096666412042,51.440508249472764,333,"Muschberg, Geestenberg"
20230051183,2023,property_damage_only,Flank,Rotonde,50.0,Keizer Karel V Singel,5.4603227254160025,51.42810443953159,722,Blaarthem
20220228833,2022,property_damage_only,Flank,"Kruispunt, 4 takken",30.0,Grassavanne,5.4095094384884,51.439937366545095,633,Grasrijk
20220228873,2022,property_damage_only,Flank,"Kruispunt, 4 takken",70.0,Karel de Grotelaan,5.461225789505105,51.42898126232735,712,Oude Spoorbaan
20220227533,2022,property_damage_only,Flank,"Kruispunt, 4 takken",,Stationsweg,5.484898878156803,51.44231531291774,115,TU-terrein
20220229796,2022,property_damage_only,Flank,"Kruispunt, 3 takken",50.0,Johannes Vermeerstraat,5.514297481002558,51.43554365313024,322,Doornakkers-Oost
20220229144,2022,injury,Flank,"Kruispunt, 3 takken",30.0,Lardinoisstraat,5.475694121311521,51.44353565728562,114,Fellenoord
20220230005,2022,property_damage_only,Flank,Rechte weg,50.0,Vicaris van Alphenstraat,5.5084041519118525,51.42663845404204,232,Burghplan
20220229318,2022,property_damage_only,Flank,"Kruispunt, 3 takken",50.0,Engelsbergenstraat,5.452688566358863,51.4351652006136,613,Engelsbergen
20220227836,2022,property_damage_only,Flank,Rechte weg,30.0,Beukenlaan,5.449379758036609,51.44305676308904,615,Schoot
20220229409,2022,property_damage_only,Kop/staart,Rechte weg,50.0,Philitelaan,5.459134389947329,51.446964291028266,616,Strijp S
20240135326,2024,property_damage_only,Voetganger,Rechte weg,50.0,Keizersgracht,5.477547545269753,51.436961782702056,111,Binnenstad
20240136110,2024,property_damage_only,Onbekend,Rotonde,50.0,Meerhovendreef,5.3938258420280665,51.435008245608415,635,Waterrijk
20230109789,2023,injury,Geparkeerd voertuig,Rechte weg,50.0,Zeelsterstraat,5.435286622861542,51.437721507879154,622,Het Ven
